Year,Type of Fuel,VALUE
2016,Electric,392.0
2016,Petrol or Diesel plug-in hybrid electric,283.0
2017,Electric,623.0
2017,Petrol or Diesel plug-in hybrid electric,259.0
2018,Electric,1222.0
2018,Petrol or Diesel plug-in hybrid electric,715.0
2019,Electric,3443.0
2019,Petrol or Diesel plug-in hybrid electric,1321.0
2020,Electric,3940.0
2020,Petrol or Diesel plug-in hybrid electric,2402.0
2021,Electric,8554.0
2021,Petrol or Diesel plug-in hybrid electric,7626.0
2022,Electric,15462.0
2022,Petrol or Diesel plug-in hybrid electric,7447.0
2023,Electric,22493.0
2023,Petrol or Diesel plug-in hybrid electric,9972.0
2024,Electric,17191.0
2024,Petrol or Diesel plug-in hybrid electric,11060.0
2025,Electric,23398.0
2025,Petrol or Diesel plug-in hybrid electric,18237.0
